Title,Type,Creation Date,Days Since Creation,Training Materials,Sessions,Enrollments,Not Started,Stuck,Completed
COB20 Conclusion_CS,,Lead to Care - Conclusion to the Learning Plan,487,2,E-learning,{'2024-12-04': 1},1,0,{'2024-12-04': 0}
SFDC HPC 8/1/23,,Salesforce HPC Briefing,491,4,E-learning,{'2024-12-04': 782},19,15,{'2024-12-04': 748}
,,Exploration: Peer Practice [Spanish],496,0,ILT (Instructor-Led Training),{'2024-12-04': 0},35,0,{'2024-12-04': 0}
,,Purpose: Peer Practice [Spanish],496,0,ILT (Instructor-Led Training),{'2024-12-04': 0},35,0,{'2024-12-04': 0}
July 2023,,WM: Coach Briefing (2024),505,2,E-learning,{'2024-12-04': 176},1,4,{'2024-12-04': 171}
ACAD-FY24-002-July CF-SGL,,Small Group L Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 38},7,1,{'2024-12-04': 28}
ACAD-FY24-002-July CF-SGK,,Small Group K Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 41},13,0,{'2024-12-04': 25}
ACAD-FY24-002-July CF-SGJ,,Small Group J Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 37},7,0,{'2024-12-04': 29}
ACAD-FY24-002-July CF-SGI,,Small Group I Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 29},12,0,{'2024-12-04': 16}
ACAD-FY24-002-July CF-SGH,,Small Group H Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 27},7,1,{'2024-12-04': 18}
ACAD-FY24-002-July CF-SGG,,Small Group G Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 34},5,1,{'2024-12-04': 28}
ACAD-FY24-002-July CF-SGF,,Small Group F Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 31},5,0,{'2024-12-04': 26}
ACAD-FY24-002-July CF-SGE,,Small Group E Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 34},3,1,{'2024-12-04': 30}
ACAD-FY24-002-July CF-SGD,,Small Group D Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 38},8,0,{'2024-12-04': 24}
ACAD-FY24-002-July CF-SGC,,Small Group C Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 38},4,1,{'2024-12-04': 32}
ACAD-FY24-002-July CF-SGB,,Small Group B Sessions - July 2023 Coaching Foundations,510,2,E-learning,{'2024-12-04': 36},10,0,{'2024-12-04': 23}
ACAD-FY24-001-July CF Material,,Program Material - July 2023 Coaching Foundations,511,20,E-learning,{'2024-12-04': 543},217,243,{'2024-12-04': 83}
ACAD-FY24-002-July CF-SGA,,Small Group A Sessions - July 2023 Coaching Foundations,511,2,E-learning,{'2024-12-04': 36},9,2,{'2024-12-04': 25}
ACAD-FY24-002-July CF Luminary,,Luminary Sessions - July 2023 Coaching Foundations,511,11,E-learning,{'2024-12-04': 398},113,16,{'2024-12-04': 269}
,,Self-Esteem: Peer Practice [Spanish],513,0,ILT (Instructor-Led Training),{'2024-12-04': 0},35,0,{'2024-12-04': 0}
COP_SAC_SPAN,,High-Quality Connections: Peer Practice [Spanish],513,2,ILT (Instructor-Led Training),{'2024-12-04': 6},22,2,{'2024-12-04': 11}
,,Connect Circles Topic Guidebooks,515,8,E-learning,{'2024-12-04': 25},1,5,{'2024-12-04': 19}
,,Connect Circles 101 (PILOT),515,2,E-learning,{'2024-12-04': 25},2,6,{'2024-12-04': 17}
,,Connect 1:1 Coaching (PILOT),515,3,E-learning,{'2024-12-04': 157},18,3,{'2024-12-04': 136}
,,Introduction to Connect (PILOT - OLD),515,3,E-learning,{'2024-12-04': 175},14,7,{'2024-12-04': 154}
COB20 Conclusion_CS,,Care - Conclusion to the Learning Plan,523,2,E-learning,{'2024-12-04': 256},209,1,{'2024-12-04': 46}
COB12 Scheduling_CS,,Care - Scheduling and Committing to Member Sessions Guide,523,3,E-learning,{'2024-12-04': 255},204,3,{'2024-12-04': 48}
,,The Care Coaching Journey,523,2,E-learning,{'2024-12-04': 257},180,9,{'2024-12-04': 68}
COB12 Scheduling_CS,,Scheduling and Committing to Member Sessions,524,3,E-learning,{'2024-12-04': 246},43,47,{'2024-12-04': 156}
,,Mock Session Preparation Guide - Care,524,2,E-learning,{'2024-12-04': 260},150,11,{'2024-12-04': 99}
COB10 Coaching Ethics_CS,,Coaching Ethics at BetterUp,524,4,E-learning,{'2024-12-04': 892},87,175,{'2024-12-04': 630}
,,Care Coach Orientation,524,2,E-learning,{'2024-12-04': 258},149,6,{'2024-12-04': 103}
